Positions and values of non-FF bytes:
Offset: 0x00000000, Value: 0x45 (69)
Offset: 0x000009bf, Value: 0x3c (60)
Offset: 0x000009c0, Value: 0x73 (115)
Offset: 0x000009c1, Value: 0x3e (62)
Offset: 0x000009c2, Value: 0x3c (60)
Offset: 0x000009c3, Value: 0x69 (105)
Offset: 0x000009c4, Value: 0x36 (54)
Offset: 0x000009c5, Value: 0x34 (52)
Offset: 0x000009c6, Value: 0x3e (62)
Offset: 0x000009c7, Value: 0x31 (49)
Offset: 0x000009c8, Value: 0x20 (32)
Offset: 0x000009c9, Value: 0x31 (49)
Offset: 0x000009ca, Value: 0x36 (54)
Offset: 0x000009cb, Value: 0x32 (50)
Offset: 0x000009cc, Value: 0x38 (56)
Offset: 0x000009cd, Value: 0x31 (49)
Offset: 0x000009ce, Value: 0x36 (54)
Offset: 0x000009cf, Value: 0x38 (56)
Offset: 0x000009d0, Value: 0x31 (49)
Offset: 0x000009d1, Value: 0x32 (50)
Offset: 0x000009d2, Value: 0x38 (56)
Offset: 0x000009d3, Value: 0x20 (32)
Offset: 0x000009d4, Value: 0x31 (49)
Offset: 0x000009d5, Value: 0x30 (48)
Offset: 0x000009d6, Value: 0x30 (48)
Offset: 0x000009d7, Value: 0x30 (48)
Offset: 0x000009d8, Value: 0x30 (48)
Offset: 0x000009d9, Value: 0x20 (32)
Offset: 0x000009da, Value: 0x38 (56)
Offset: 0x000009db, Value: 0x20 (32)
Offset: 0x000009dc, Value: 0x38 (56)
Offset: 0x000009dd, Value: 0x20 (32)
Offset: 0x000009de, Value: 0x30 (48)
Offset: 0x000009df, Value: 0x3c (60)
Offset: 0x000009e0, Value: 0x2f (47)
Offset: 0x000009e1, Value: 0x69 (105)
Offset: 0x000009e2, Value: 0x36 (54)
Offset: 0x000009e3, Value: 0x34 (52)
Offset: 0x000009e4, Value: 0x3e (62)
Offset: 0x000009e5, Value: 0x3c (60)
Offset: 0x000009e6, Value: 0x6d (109)
Offset: 0x000009e7, Value: 0x3e (62)
Offset: 0x000009e8, Value: 0x3c (60)
Offset: 0x000009e9, Value: 0x2f (47)
Offset: 0x000009ea, Value: 0x6d (109)
Offset: 0x000009eb, Value: 0x3e (62)
Offset: 0x000009ec, Value: 0x3c (60)
Offset: 0x000009ed, Value: 0x2f (47)
Offset: 0x000009ee, Value: 0x73 (115)
Offset: 0x000009ef, Value: 0x3e (62)
Offset: 0x000009f0, Value: 0x3c (60)
Offset: 0x000009f1, Value: 0x63 (99)
Offset: 0x000009f2, Value: 0x3e (62)
Offset: 0x000009f3, Value: 0x3c (60)
Offset: 0x000009f4, Value: 0x69 (105)
Offset: 0x000009f5, Value: 0x36 (54)
Offset: 0x000009f6, Value: 0x34 (52)
Offset: 0x000009f7, Value: 0x3e (62)
Offset: 0x000009f8, Value: 0x31 (49)
Offset: 0x000009f9, Value: 0x30 (48)
Offset: 0x000009fa, Value: 0x32 (50)
Offset: 0x000009fb, Value: 0x38 (56)
Offset: 0x000009fc, Value: 0x20 (32)
Offset: 0x000009fd, Value: 0x31 (49)
Offset: 0x000009fe, Value: 0x30 (48)
Offset: 0x000009ff, Value: 0x32 (50)
Offset: 0x00000a00, Value: 0x38 (56)
Offset: 0x00000a01, Value: 0x20 (32)
Offset: 0x00000a02, Value: 0x31 (49)
Offset: 0x00000a03, Value: 0x30 (48)
Offset: 0x00000a04, Value: 0x32 (50)
Offset: 0x00000a05, Value: 0x38 (56)
Offset: 0x00000a06, Value: 0x20 (32)
Offset: 0x00000a07, Value: 0x31 (49)
